estimator,metric,region,t,p,partial_eta2,n,mean_delta_walking,mean_delta_control,q
partial,roi_to_network_z,Motor_R--SalVentAttn,-0.2888376438482682,0.7727056236208242,0.0009921953385743328,88,-5.247228456575423e-05,2.7950736399114107e-05,0.9907438315703871
partial,mean_clustering,Subcortical,0.2794291174033407,0.7799155281843829,0.0009286681031038547,88,-5.012104293237139e-05,-0.00010045859446061647,0.9907438315703871
partial,mean_strength,Cerebellum,0.23343766286159323,0.8154215701517868,0.0006483073111860479,88,0.01600368100034233,-0.0005577535522141019,0.9907438315703871
pearson,between_network_z,SomMot--Default,0.21185715903964375,0.8322184740217394,0.0005340415024780673,88,0.08304904398186749,0.06177810116729231,1.0577876436990832
partial,roi_to_network_z,Motor_L--Default,-0.2010862544678792,0.8406311298172983,0.00048114555104226275,88,1.1006936617428509e-05,2.3414793289891326e-05,0.9907438315703871
partial,roi_to_wholebrain_z,Hippocampus_L,-0.19333022806542324,0.8467003543003018,0.00044476135032064755,88,-1.327539180396263e-06,4.4336068675667004e-05,1.7368772936769592
partial,roi_to_network_z,Hippocampus_R--Subcortical,0.17514530742142911,0.8609654582745234,0.00036505571793833815,88,-0.0001485066774180102,-0.0005136129790442295,1.7368772936769592
pearson,mean_strength,Default,-0.14908101908793367,0.8814897030825694,0.0002645151352818,88,13.99428062822463,14.98420652107447,1.0577876436990832
partial_9block,between_network_z,Cerebellum--DorsAttn,0.1447022152251755,0.884945990072226,0.00024920848787571157,88,0.003856055199927197,-0.011439476515996243,1.7698919801445134
partial_9block,between_network_z,DorsAttn--Cerebellum,0.14470221522513654,0.8849459900722567,0.0002492084878755774,88,0.0038560551999272455,-0.011439476515996173,1.7698919801445134
partial_9block,between_network_z,SalVentAttn--Cerebellum,0.12412982124481908,0.9012124868121284,0.00018339746065739148,88,-0.037289265314600764,-0.04733984700963975,4.806466596331352
partial_9block,between_network_z,Cerebellum--SalVentAttn,0.12412982124481843,0.901212486812129,0.00018339746065738956,88,-0.037289265314600736,-0.04733984700963974,14.419399788994063
partial,mean_strength,Limbic,0.11018007285048687,0.9122665656070744,0.0001444987415406469,88,-0.046316208527817704,-0.08401310259363015,1.7368772936769592
spearman,roi_to_network_z,DLPFC_L--Vis,-0.10202913799818013,0.9187335469863641,0.0001239125604489586,88,-0.014126641401603524,-0.014638753091172768,1.948837870528841
partial,mean_strength,Hippocampus_R,-0.06598770421497763,0.9473876147328869,5.183513568851389e-05,88,-0.016783660692684776,-0.01171254302357605,1.7368772936769592
partial,between_network_z,Cont--Default,-0.051535460823456405,0.9588988457313127,3.1616901795700516e-05,88,-4.455467976165542e-05,-1.529500031389715e-05,2.4341278391641015
pearson,roi_homogeneity,Motor_R,-0.048953644974497106,0.9609562375672559,2.8528464154574542e-05,88,0.005975887416503567,0.004860630416597178,5.765737425403535
partial,between_network_z,SomMot--SalVentAttn,-0.04423492633454066,0.9647171421013012,2.329384676289955e-05,88,-9.873951326443923e-06,6.285323601372232e-07,3.9794582111678674
spearman,roi_to_network_z,Hippocampus_R--Subcortical,0.03206660473914958,0.9744189352644204,1.2241125623209779e-05,88,0.010427481496487756,0.006546871567795043,1.948837870528841
spearman,mean_strength,Default,-0.02234805605702357,0.9821703152504079,5.945626667502253e-06,88,13.631457889863825,12.72650393774039,7.202582311836324
